
"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Antigua and Barbuda","ATG","Agriculture, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","3852259.25925926","3949814.81481481","3902444.44444444","4035074.07407407","4373333.33333333","4436740.74074074","4880185.18518519","4245222.22222222","5126481.48148148","5435000","6436925.92592593","7046851.85185185","7487148.14814815","8181925.92592593","8575851.85185185","9000444.44444444","9341074.07407407","9292592.59259259","9485037.03703704","10237518.5185185","11699666.6666667","12131111.1111111","12777407.4074074","13195703.7037037","12913740.7407407","14095222.2222222","14969703.7037037","14804925.9259259","17968259.2592593","19127666.6666667","21082777.7777778","21201259.2592593","18323481.4814815","18757888.8888889","21990370.3703704","22785185.1851852","23834370.3703704","20106777.7777778","22855370.3703704","24197555.5555556",
"Australia","AUS","Agriculture, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13215082724.1247","10449729220.6263","10015381065.9079","10268409218.6622","10897959183.6735","11199881199.8812","13706373292.868","14236969791.8297","12195618259.513","11912520365.9606","12947308924.1977","13271439304.4972","15555148597.7396","13536983110.0757","18903115663.679","20131559164.0355","20479934112.0096","18903195414.9329","24571172784.2435","21344426446.7678","25257641152.1184","31953071083.5059","35188698700.763","36288088642.6593","32739373909.8504","32097512272.2356","29355020816.7923",
"Austria","AUT","Agriculture, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","2194703305.9753","2274305303.47182","2740653937.26902","3172604632.01235","3551865985.96043","2819204942.11163","2599944664.03162","2462075609.00873","2436616051.16567","2176410947.06039","3197360793.15007","3972141815.41141","4066708793.0458","4010436713.46854","5157991044.41486","4888138479.67001","4788166666.66667","4198779131.66923","4829198168.89531","5205486556.57158","4708760072.78399","4059995489.90867","3920497999.11072","3741689750.69252","3240574903.26147","3298147651.00671","3339045736.87182","3905654627.5395","4452259746.70971","3978634498.19674","4383653243.0059","5515685737.7498","5781133733.70441","4593095304.25118","4982299385.07111","6155067301.98384","5563851472.16822","5475695044.81763","5351592821.55207","4331316125.21336","4357529788.61714",
"Azerbaijan","AZE","Agriculture, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2347432022.47833","2680157916.41464","1300727227.59261","1076507760.63648","1071915726.54823","768481372.674268","786538014.415252","797590966.122961","806978874.196666","842902795.19437","848115691.151651","846773327.606571","870191318.658712","904117084.096925","953800753.027374","1211656441.71779","1487911349.89926","2161636172.94022","2721518987.34177","2711495396.86489","2933225364.39517","3348360136.76079","3542642566.19145","3897769279.79605","3966594415.40227","3278645325.00488","2111675126.90355",
"Burundi","BDI","Agriculture, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","158580571.428571","163745142.857143","149990857.142857","192688626.196486","210728888.888889","258080000","266695652.173913","304321111.111111","329302222.222222","421235555.555556","529504444.444444","563428888.888889","533083333.333333","579172673.480366","539571464.372233","643436075.896926","631141280.546553","572028164.454516","521887531.607251","524904359.444623","578015240.430936","567331265.529191","519907053.667014","442751235.584843","376786470.516063","420406953.931406","463898280.759703","412720733.077905","398073934.18613","384930042.941302","383945638.22554","384414355.99446","357673239.57947","336156027.69208","383516660.671626","456370566.983106","517457457.278409","465860167.818731","600156465.749755","643655818.599436","749308968.698149","869277068.034031","916496782.889439","985727143.842662","1103507336.68299","1226759797.56677","1093319771.47132",
"Belgium","BEL","Agriculture, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3765736179.52928","3717263843.64821","3388588182.22824","3247388308.513","2778606435.11613","2778699097.10706","2624608501.11857","2657632222.84961","3268623024.8307","3770797119.44375","3242134062.9275","3702170367.58249","4176019709.82754","3672183975.39183","3146707418.72742","3687197686.26104","3393316428.50038","3905980974.89357","3583571793.38925","3403072045.5569","3044388307.3078","3069570987.01631",
"Benin","BEN","Agriculture, value added (current US$)","NV.AGR.TOTL.CD","104406729.171994","108864073.691563","105708327.160214","111013027.291234","122843599.812592","129355604.260002","136764159.974992","128861320.426063","126835486.642482","127327023.787451","121199799.495736","115123488.277923","140460804.689645","169590996.333604","174903153.116661","206707115.157324","231847136.540832","238928984.771636","320842391.003293","415096554.839753","497918402.912539","421739847.974931","412043218.28279","363191694.089738","350149114.317277","329875811.94089","449879706.640863","519969954.408215","557042148.987303","568721864.603523","679224884.377268","696122784.306233","575422295.862592","776066895.840058","516082554.776644","717933119.889796","843043770.296064","811642072.035985","897990615.843532","623518858.481359","588081372.933341","615110938.920671","729137164.732488","890742829.967569","1119282629.36961","1187180798.23216","1297787049.32451","1449088482.65726","1709671591.64932","1686834200.82285","1584769734.91602","1785252214.55833","1818316794.54431","1954497611.52943","2083674645.79351","1864909852.82767","1988409266.51604",
"Burkina Faso","BFA","Agriculture, value added (current US$)","NV.AGR.TOTL.CD","127169376.141693","134169238.290289","143699514.068187","151680604.106747","158717022.321204","149775090.191867","157359681.60001","150605839.24693","145472008.518181","153140095.129837","139867732.308357","147615010.582649","184584163.004369","198373522.976225","231534116.921737","271334014.424703","283349817.786453","321522352.283218","444454693.830161","513702854.341073","548650455.912665","529271802.22823","482812661.477477","441914271.805934","416048962.986255","526359972.301296","597867380.255433","659201131.642912","746793173.838217","722627174.160414","866814538.572206","934032478.822744","645416035.552194","704993567.310167","624456113.115777","790409692.788758","940965777.894894","825813763.375939","1025572180.40053","915532212.096774","809426367.461431","970695263.618487","1146972072.12403","1445308958.03048","1529748726.44452","1927978203.80038","1975145446.4332","2027015438.377","3097181542.33135","2711019508.82936","2922104196.23766","3302049034.67318","3515456868.00955","3783211885.67727","3953009466.54127","3357007651.20268","3558440128.47749",
"Bangladesh","BGD","Agriculture, value added (current US$)","NV.AGR.TOTL.CD","2456965881.53562","2793629763.99113","2897349426.53635","3039893212.53883","2873828364.97099","3119808334.36329","3474042132.7873","4051301630.68241","4007943132.40532","4694023271.80961","4906563909.19734","4466180155.86328","3748417450","4580228698.11078","7086626349.48531","12049056624.6057","5252244444.44444","4719224479.63801","7205399623.01587","8164407614.98029","5580038759.68992","6621113831.08935","5964770459.08184","5573442760.94276","6720240000","7582923076.92308","7269400000","8258580645.16129","8707083120.41738","9243489535.96404","10073677344.3401","9132744903.61663","9002572762.81285","8384576888.15551","8349700151.49729","9611111979.98893","10804473923.4512","11214941252.3804","11290220264.3172","11617096505.8236","12124627310.6738","11796200889.5478","11264478495.5598","11919119170.9845","12544436894.8531","12896276422.7642","12951865409.4699","14176120157.8338","16123160740.4168","17528446091.9968","19598804913.9026","21624020462.3123","21573710617.1092","23238437547.3051","26540719629.9561","28838458656.8007","31098989125.0442",
"Bulgaria","BGR","Agriculture, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","2860538461.53846","3303500000","3322533333.33333","2398333333.33333","2782222222.22222","2036105263.15789","2616117647.05882","3314846153.84615","2584764705.88235","2405944444.44444","3661363636.36364","1684274193.54839","1202525773.19588","1075869565.21739","1114391143.91144","1705967261.90476","1170741989.88196","2306003329.56775","2012648829.81141","1762398650.48702","1451585739.17958","1500300727.78871","1589073182.47472","1911018064.29272","2195229509.23751","2160055904.96157","2087975373.56506","2065111966.41008","3198981377.60826","2198618753.11012","2104742114.52552","2638474226.80412","2457739159.00131","2562259771.98697","2590262515.26252","2076605644.97846","1990650452.48869",
